,user_id,firstly_chosen_group,is_interested,lastly_chosen_group,soft_palate,active_articulator,upper_teeth,back,front
0,138061640,upper_teeth+front,нет,upper_teeth+front,7,3,13,16,12
1,192381075,upper_teeth+back,нет,active_articulator+back,7,3,13,16,12
2,358763582,soft_palate+back,да,soft_palate+back,1,2,3,3,6
3,362747599,upper_teeth+back,да,upper_teeth+back,3,5,2,8,6
4,374853018,active_articulator+front,да,upper_teeth+front,3,6,12,15,12
5,404814319,active_articulator+back,да,soft_palate+back,0,3,6,5,6
6,437812839,soft_palate+back,да,upper_teeth+back,2,3,5,5,6
7,463001428,upper_teeth+front,да,soft_palate+back,4,3,11,8,5
8,490107634,upper_teeth+back,да,soft_palate+back,2,4,9,11,8
9,493831663,upper_teeth+back,нет,upper_teeth+front,1,1,4,5,4
10,683395329,upper_teeth+back,да,upper_teeth+back,3,2,8,9,5
11,724081281,upper_teeth+front,да,upper_teeth+front,2,2,6,3,7
12,732874568,soft_palate+back,да,soft_palate+front,0,5,10,10,9
13,741441151,upper_teeth+back,да,active_articulator+front,6,7,10,13,5
14,784918324,upper_teeth+back,да,active_articulator+front,1,3,3,5,3
15,795743803,active_articulator+front,да,active_articulator+front,3,0,9,6,8
16,808305796,active_articulator+back,да,active_articulator+back,4,1,1,6,3
17,869486386,active_articulator+back,нет,active_articulator+back,1,2,3,5,3
18,915501585,active_articulator+back,да,active_articulator+back,0,1,2,2,3
19,959865522,upper_teeth+front,да,upper_teeth+back,1,0,1,1,1
20,1117693843,upper_teeth+back,да,upper_teeth+back,1,0,5,4,5
21,1186572851,active_articulator+back,нет,active_articulator+back,0,2,5,7,4
22,1251811598,upper_teeth+front,да,upper_teeth+back,1,4,8,10,10
23,1253314796,upper_teeth+back,да,active_articulator+back,1,2,4,4,2
24,1297934913,soft_palate+back,да,upper_teeth+back,2,1,4,8,3
25,1545615027,active_articulator+back,да,upper_teeth+back,3,4,4,10,4
26,1572054159,active_articulator+back,нет,upper_teeth+back,4,3,7,11,16
27,1804804255,upper_teeth+back,нет,soft_palate+front,5,2,6,9,3
28,1898602291,active_articulator+back,да,active_articulator+back,1,0,4,4,5
29,2130580335,upper_teeth+back,нет,upper_teeth+front,1,0,4,2,1
30,5091273905,active_articulator+back,да,active_articulator+front,1,2,2,5,2
31,5241556357,soft_palate+back,да,upper_teeth+back,3,2,5,7,7
32,5281150358,upper_teeth+back,да,upper_teeth+back,3,0,3,8,1
33,5695783961,upper_teeth+front,да,upper_teeth+front,2,0,3,3,5
34,6255406422,soft_palate+back,да,upper_teeth+back,5,6,4,12,5
